Date,x1:Primary Column Reflux Flow,x2:Primary Column Tails Flow,x3:Input to Primary Column Bed 3 Flow,x4:Input to Primary Column Bed 2 Flow,x5:Primary Column Feed Flow from Feed Column,x6:Primary Column Make Flow,x7:Primary Column Base Level,x8:Primary Column Reflux Drum Pressure,x9:Primary Column Condenser Reflux Drum Level,x10:Primary Column Bed1 DP,x11:Primary Column Bed2 DP,x12:Primary Column Bed3 DP,x13:Primary Column Bed4 DP,x14:Primary Column Base Pressure,x15:Primary Column Head Pressure,x16:Primary Column Tails Temperature,x17:Primary Column Tails Temperature 1,x18:Primary Column Bed 4 Temperature,x19:Primary Column Bed 3 Temperature,x20:Primary Column Bed 2 Temperature,x21:Primary Column Bed 1 Temperature,x22: Secondary Column Base Concentration,x23: Flow from Input to Secondary Column,x24: Secondary Column Tails Flow,x25: Secondary Column Tray DP,x26: Secondary Column Head Pressure,x27: Secondary Column Base Pressure,x28: Secondary Column Base Temperature,x29: Secondary Column Tray 3 Temperature,x30: Secondary Column Bed 1 Temperature,x31: Secondary Column Bed 2 Temperature,x32: Secondary Column Tray 2 Temperature,x33: Secondary Column Tray 1 Temperature,x34: Secondary Column Tails Temperature,x35: Secondary Column Tails Concentration,x36: Feed Column Recycle Flow,x37: Feed Column Tails Flow to Primary Column,x38: Feed Column Calculated DP,x39: Feed Column Steam Flow,x40: Feed Column Tails Flow,Avg_Reactor_Outlet_Impurity,Avg_Delta_Composition Primary Column,y:Impurity,Primary Column Reflux/Feed Ratio,Primary Column Make/Reflux Ratio
12/1/15 0:00,327.813,45.792,2095.06,2156.01,98.5005,95.4674,54.3476,41.0121,52.2353,6.86666,10.6779,8.12894,8.5602,42.2393,40.9597,52.6953,23.4202,49.4764,49.5943,50.812,51.3843,0.0144106,1257.24,8.75854,6.35619,42.6542,43.7373,142.68,66.3713,59.4682,55.8463,84.7172,124.33,141.965,0.0130596,62.8707,45.0085,66.6604,8.68813,99.9614,5.38024,1.49709,1.77833,3.32803,0.291226
12/1/15 1:00,322.97,46.1643,2101,2182.9,98.0014,94.9673,54.2247,41.0076,52.5378,6.70838,10.569,7.83157,8.37297,42.2257,41.0177,52.5954,22.9557,49.4889,49.5918,50.8096,51.3626,0.0153829,1417.43,8.81707,6.12842,42.7509,43.7412,141.679,66.1499,59.1892,55.8329,83.4434,110.837,141.352,0.0136656,62.8651,45.0085,66.5496,8.70683,99.8637,5.33345,1.51392,1.76964,3.29556,0.294044
12/1/15 2:00,319.674,45.9927,2102.96,2151.39,98.8229,96.0785,54.613,41.0451,52.0159,6.75303,10.6124,7.84894,8.40938,42.2402,41.0575,52.8304,22.8949,49.4914,49.5918,50.819,51.3791,0.0148967,1538.7,8.84735,6.12386,42.7568,43.7108,142.098,66.145,59.2361,55.8378,84.1269,113.329,141.587,0.0134975,62.8656,45.0085,66.0599,8.69269,100.249,5.37677,1.50634,1.76095,3.23481,0.300552
12/1/15 3:00,327.223,46.096,2101.37,2172.14,98.7733,96.1223,54.9153,41.0405,52.9477,6.93766,10.9209,8.12147,8.69578,42.2859,41.0814,52.9296,22.8342,49.5174,49.6108,50.8215,51.3982,0.0144106,1459.21,8.89552,6.17319,42.7485,43.7946,142.683,66.7973,59.615,55.8707,108.783,127.831,142.125,0.0131042,62.8669,45.0085,67.9697,8.70482,100.32,5.32315,1.47935,1.75226,3.31287,0.293752
12/1/15 4:00,331.177,45.8493,2114.06,2157.77,99.3231,94.7521,54.0925,40.9934,53.0507,6.87966,10.9171,8.12338,8.69578,42.2178,41.0436,52.8591,22.7126,49.4725,49.5724,50.7995,51.3656,0.0144106,1529.97,8.8249,6.21475,42.7677,43.7728,142.678,66.5091,59.4871,55.8389,88.9764,124.675,141.955,0.0130852,62.8673,45.0085,67.6454,8.70077,100.659,5.28227,1.44489,1.74357,3.33435,0.286107
12/1/15 5:00,328.884,46.0729,2100.26,2134.76,99.3376,95.4188,53.9989,41.0217,53.0389,6.94884,11.1812,8.12338,8.7794,42.3089,41.065,53.0511,22.5793,49.4914,49.6108,50.8287,51.3911,0.0149561,1368.91,8.82138,6.14505,42.8362,43.7716,142.098,66.3339,59.3121,55.9039,84.7325,114.153,141.653,0.0134026,62.869,45.0085,67.6828,8.69795,100.826,5.2851,1.51144,1.73488,3.31077,0.290129
12/1/15 6:00,327.335,46.0581,2101.57,2191.37,98.9044,94.9811,54.0685,41.0499,52.8279,6.98656,11.1551,8.12338,8.85526,42.3011,41.0719,53.2334,22.6093,49.5008,49.6107,50.8096,51.3886,0.0146536,1447.07,8.86694,6.33678,42.7817,43.7716,142.432,66.2396,59.3167,55.8799,80.3094,121.819,141.691,0.0133881,62.872,45.0085,66.0828,8.7078,100.358,5.35512,1.51096,1.72619,3.30961,0.290165
12/1/15 7:00,329.935,45.9708,2099.27,2133.95,99.6756,94.8352,54.0001,40.9886,52.7697,6.93838,10.9171,8.26999,8.76982,42.2411,41.0203,53.1726,22.5868,49.4725,49.566,50.7836,51.3531,0.0143541,1489.48,8.87379,6.32758,42.7119,43.7504,142.751,67.002,59.6385,55.8663,106.788,127.113,142.153,0.0129313,62.8694,45.0085,67.5438,8.69391,101.136,5.31343,1.5118,1.7175,3.31009,0.287436
12/1/15 8:00,329.128,45.8875,2099.12,2055.11,98.8823,95.0573,53.9876,41.0169,52.8802,6.92111,10.8869,8.12338,8.69578,42.2553,41.0675,53.2334,22.5564,49.4986,49.5943,50.812,51.3816,0.0148394,1554.75,8.89059,6.25911,42.8205,43.8109,142.298,66.5947,59.4303,55.8751,81.5689,119.591,141.663,0.0134223,62.869,45.0085,66.9394,8.7081,100.363,5.35183,1.48168,1.70881,3.32848,0.288816
12/1/15 9:00,327.686,45.8192,2109.75,2185.82,98.8448,95.5414,54.0806,41.0029,53.0875,6.97721,10.9171,8.12338,8.97022,42.2857,41.048,53.336,22.6707,49.503,49.6154,50.8405,51.4006,0.0153829,1576.27,8.93469,6.13402,42.845,43.7716,141.681,66.3624,59.2978,55.904,81.3605,110.986,141.294,0.0137747,62.869,45.0085,65.5845,8.69685,100.279,5.31385,1.51268,1.70012,3.31516,0.291564
